#BOF|2021.03.16|08:30:02
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|-0.3598|0.4298|>10000000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|-0.1800|0.2500|>10000000|
AAA|USD|AAF FIRST PRIORITY CLO BOND|444250694|XXXXXXXF6566|-1.0634|1.1334|100|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.4333|1.5033|400000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-14.2127|14.2827|9600000|
AABVF|USD|ABERDEEN INTERNATIONAL INC.|60152167|CA0030691012|-0.9556|1.0256|1000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|-0.1800|0.2500|1000000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-38.0316|38.1016|70000|
AACQ|USD|ARTIUS ACQUISITION INC-CL A|443757877|KY04316G1057|-1.2258|1.2958|1800000|
AACQU|USD|ARTIUS ACQUISITION INC|434092878|KY04316G2048|-0.1800|0.2500|7000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-8.9544|9.0244|200000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-7.5405|7.6105|15000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|-1.2210|1.2910|700000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-9.3338|9.4038|60000|
AAGH|USD|AMERICA GREAT HEALTH|280898497|XXXXXXXT1016|-1.4850|1.5550|6000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-0.7202|0.7902|300000|
AAIC|USD|ARLINGTON ASSET INVESTMENT-A|69259320|XXXXXXX62051|-0.4166|0.4866|700000|
AAIC PRB|USD|ARLINGTON ASSET INVT CORP PERP PFD|276016743|XXXXXXX66011|-21.2238|21.2938|20000|
AAIC PRC|USD|ARLINGTON ASSET INVEST|356101385|XXXXXXX67001|-50.9690|51.0390|85000|
AAIRF|USD|AMERICAN AIRES INC|452068989|CA02377G1054|-18.7620|18.8320|200|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|-0.2105|0.2805|5000000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-0.4076|0.4776|20000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|-4.8753|4.9453|350000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-0.8509|0.9209|55000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|-0.1800|0.2500|350000|
AAN|USD|AARON'S CO INC-THE|455975127|XXXXXXXW1080|-0.4139|0.4839|1900000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|-0.5101|0.5801|1500000|
AAON|USD|AAON INC|265595|XXXXXXX02069|-0.1862|0.2562|2000000|
AAP|USD|ADVANCE AUTO PARTS INC|4027|XXXXXXXY1064|-0.1803|0.2503|2600000|
AAPJ|USD|AAP INC|95309032|XXXXXXXT1034|-2.8230|2.8930|40000|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|-0.1800|0.2500|>10000000|
AAPT|USD|ALL AMERICAN PET CO INC|44001811|XXXXXXXF1066|-0.2300|0.3000|550000|
AAT|USD|AMERICAN ASSETS TRUST INC|82819360|XXXXXXX31047|-0.1800|0.2500|950000|
AATRL|USD|AMG CAPITAL TRUST II|415141203|XXXXXXXF2092|-0.4010|0.4710|500000|
AATV|USD|ADAPTIVE AD SYSTEMS INC|160872878|XXXXXXXA1007|-0.9686|1.0386|15000|
AAU|USD|ALMADEN MINERALS LTD - B|202212514|CA0202833053|-8.7827|8.8527|1300000|
AAVMY|USD|ABN AMRO BANK NV-UNSP ADR|377515728|XXXXXXXQ1058|-76.0012|76.0712|15000|
AAVVF|USD|ADVANTAGE OIL &amp; GAS LTD|61596952|CA00765F1018|-2.7248|2.7948|300000|
AAWW|USD|ATLAS AIR WORLDWIDE HOLDINGS|39505341|XXXXXXX42056|-0.1801|0.2501|2500000|
AAXJ|USD|ISHARES MSCI ALL COUNTRY ASI|53224215|XXXXXXX81829|-1.0865|1.1565|400000|
AAZZF|USD|A2Z SMART TECHNOLOGIES CORP|439127724|CA0022091049|-5.6803|5.7503|7000|
AB|USD|ALLIANCEBERNSTEIN HOLDING LP|38198926|XXXXXXXG1067|-1.3210|1.3910|400000|
ABB|USD|ABB LTD-SPON ADR|11962137|XXXXXXX52047|-0.2473|0.3173|650000|
ABBRF|USD|ABRASILVER RESOURCE CORP|475418221|CA00379L1067|-9.0892|9.1592|450000|
ABBV|USD|ABBVIE INC|118089500|XXXXXXXY1091|-0.1800|0.2500|>10000000|
ABC|USD|AMERISOURCEBERGEN CORP.|1714996|XXXXXXXE1055|-0.1800|0.2500|5500000|
ABCB|USD|AMERIS BANCORP|3655373|XXXXXXXK1088|-0.1800|0.2500|5300000|
ABCE|USD|ABCO ENERGY INC|463342394|XXXXXXXV4023|-1.4850|1.5550|200000|
ABCFF|USD|ABACUS MINING &amp; EXPLORATION|274710751|CA0025555065|-4.4078|4.4778|45000|
ABCL|USD|ABCELLERA BIOLOGICS INC|459919952|CA00288U1066|-6.1417|6.2117|5000|
ABCM|USD|ABCAM PLC-SPON ADR|451447704|XXXXXXX02040|-0.4139|0.4839|450000|
ABCP|USD|AMBASE CORP|30207592|XXXXXXX41061|-2.0483|2.1183|150000|
ABEO|USD|ABEONA THERAPEUTICS INC|197341060|XXXXXXXY1073|-0.4353|0.5053|1200000|
ABEPF|USD|VISION LITHIUM INC|322587606|CA92837C1095|-1.3821|1.4521|>10000000|
ABEQ|USD|ABSOLUTE CORE STRATEGY ETF|400759002|XXXXXXXL5681|-15.8399|15.9099|4000|
ABEV|USD|AMBEV SA-ADR|137736417|XXXXXXXV1035|-0.1800|0.2500|8800000|
ABG|USD|ASBURY AUTOMOTIVE GROUP|14680959|XXXXXXX61046|-0.1815|0.2515|1200000|
ABGI|USD|ABG ACQUISITION CORP I - A|471602227|KYG004961028|-1.2258|1.2958|400000|
ABILF|USD|ABILITY INC|311892904|KYG8789K1242|-71.9881|72.0581|35000|
ABIO|USD|ARCA BIOPHARMA INC|359788451|XXXXXXXY5069|-1.2118|1.2818|100000|
ABLE|USD|ABLE ENERGY INC|6542348|XXXXXXX91024|-0.4139|0.4839|40000|
ABLT|USD|AMERICAN BILTRITE INC|108509834|XXXXXXX14066|-0.1800|0.2500|400|
ABM|USD|ABM INDUSTRIES INC|4050|XXXXXXX71003|-0.1800|0.2500|5000000|
ABMBF|USD|ABCOURT MINES INC -CL B|47525921|CA00288E3005|-2.3510|2.4210|2000|
ABMC|USD|AMERICAN BIO MEDICA CORP|4725711|XXXXXXX01087|-3.1087|3.1787|200000|
ABMD|USD|ABIOMED INC|265655|XXXXXXX41003|-0.1999|0.2699|1300000|
ABML|USD|AMERICAN BATTERY METALS CORP|364344135|XXXXXXXV1017|-3.7762|3.8462|8500000|
ABNAF|USD|ABEN RESOURCES LTD|203013658|CA00289T3064|-3.6500|3.7200|55000|
ABNB|USD|AIRBNB INC-CLASS A|459530964|XXXXXXX61010|-0.2983|0.3683|1600000|
ABQQ|USD|AB INTERNATIONAL GROUP CORP|371244709|XXXXXXXU2024|-1.7179|1.7879|1900000|
ABR|USD|ARBOR REALTY TRUST INC|29661257|XXXXXXX31087|-0.2743|0.3443|2500000|
ABR PRA|USD|ARBOR REALTY TRUST INC|121864398|XXXXXXX36037|-9.3109|9.3809|15000|
ABR PRB|USD|ARBOR REALTY TRUST INC|127639468|XXXXXXX37027|-25.4306|25.5006|25000|
ABR PRC|USD|ARBOR REALTY TRUST CUM REDEEMABLE P|145409783|XXXXXXX38017|-12.4299|12.4999|15000|
ABSSF|USD|AIRBOSS OF AMERICA CORP|75219120|CA00927V2003|-2.2139|2.2839|100000|
ABST|USD|ABSOLUTE SOFTWARE CORPORATIO|49919952|CA00386B1094|-0.5421|0.6121|3600000|
ABT|USD|ABBOTT LABORATORIES .|4065|XXXXXXX41000|-0.1800|0.2500|>10000000|
ABTO|USD|AB&amp;T FINANCIAL CORP|53634840|XXXXXXXW1062|-0.5497|0.6197|3000|
ABTX|USD|ALLEGIANCE BANCSHARES INC|209048380|XXXXXXXH1077|-0.1827|0.2527|900000|
ABUS|USD|ARBUTUS BIOPHARMA CORP|202009938|CA03879J1003|-0.6711|0.7411|500000|
ABVC|USD|AMERICAN BRIVISION HOLDING C|365195809|XXXXXXX32069|-1.2685|1.3385|7000|
AC|USD|ASSOCIATED CAPITAL GROUP - A|211726414|XXXXXXX81065|-0.4139|0.4839|45000|
ACA|USD|ARCOSA INC|336517320|XXXXXXX31008|-0.2286|0.2986|3400000|
ACAC|USD|ACIES ACQUISITION CORP-CL A|459919974|KYG0103T1058|-6.9654|7.0354|1100000|
ACACU|USD|ACIES ACQUISITION CORP|451701690|KYG0103T1215|-1.0970|1.1670|20000|
ACAD|USD|ACADIA PHARMACEUTICALS INC|29308796|XXXXXXX51084|-0.1800|0.2500|1900000|
ACAHU|USD|ATLANTIC COASTAL ACQUISITION|474641211|XXXXXXX32033|-10.9685|11.0385|500000|
ACAI|USD|SAFEPLUS INTERNATIONAL HOLDI|444365548|XXXXXXXR1068|-0.3288|0.3988|3000|
ACAN|USD|AMERICANN INC|165012035|XXXXXXX81072|-1.5200|1.5900|15000|
ACB|USD|AURORA CANNABIS INC|420446448|CA05156X8843|-1.0459|1.1159|2400000|
ACBI|USD|ATLANTIC CAPITAL BANCSHARES|211533625|XXXXXXX92037|-0.2334|0.3034|1700000|
ACC|USD|AMERICAN CAMPUS COMMUNITIES|30351233|XXXXXXX51001|-0.2157|0.2857|5300000|
ACCA|USD|ACACIA DIVERSIFIED HOLDINGS|74083993|XXXXXXXL1044|-1.4980|1.5680|250000|
ACCD|USD|ACCOLADE INC|431039863|XXXXXXXE1029|-0.1800|0.2500|1000000|
ACCO|USD|ACCO BRANDS CORP|35442319|XXXXXXXT1088|-0.4410|0.5110|7500000|
ACCR|USD|ACCESS-POWER &amp; CO INC|43601780|XXXXXXXN1081|-0.7965|0.8665|2400000|
ACCYY|USD|ACCOR SA-SPONSORED ADR|185736907|XXXXXXXF3091|-3.1202|3.1902|500000|
ACDVF|USD|AIR CANADA|173339588|CA0089118776|-0.1847|0.2547|350000|
ACEL|USD|ACCEL ENTERTAINMENT INC|391638321|XXXXXXXQ1067|-0.4680|0.5380|350000|
ACER|USD|ACER THERAPEUTICS INC|290087375|XXXXXXXP1084|-24.0740|24.1440|150000|
ACET|USD|ADICET BIO INC|445412968|XXXXXXX21086|-0.8511|0.9211|80000|
ACEV|USD|ACE CONVERGENCE ACQU-CLASS A|445550738|KYG0083D1209|-0.9299|0.9999|650000|
ACEVU|USD|ACE CONVERGENCE ACQUISITION|436070366|KYG0083D1126|-0.3559|0.4259|400|
ACFN|USD|ACORN ENERGY INC|41048976|XXXXXXX81073|-1.6977|1.7677|800000|
ACGBY|USD|AGRICULTURAL BANK-UNSPON ADR|79647868|XXXXXXXM1027|-4.5632|4.6332|90000|
ACGL|USD|ARCH CAPITAL GROUP LTD|10763362|BMG0450A1053|-0.1800|0.2500|>10000000|
ACGLO|USD|ARCH CAPITAL GROUP LTD|286172031|XXXXXXXA1079|-3.1067|3.1767|1000|
ACGLP|USD|ARCH CAPITAL GROUP LTD|249091376|XXXXXXXA2069|-0.4139|0.4839|5000|
ACGX|USD|ALLIANCE CREATIVE GROUP INC|380634077|XXXXXXXT2069|-2.4592|2.5292|5000|
