2021-07-22 00:20:30:348 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 11962137, id=134, symbol=ABB, open=34.51, high=34.56, low=34.25, close=34.42, volume=20810, wap=34.422, count=10954}
2021-07-22 00:20:30:357 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-09 00:00:00', conid= 11962137, id=128, symbol=ABB, open=35.63, high=36.05, low=35.61, close=35.98, volume=11800, wap=35.9215, count=6637}
2021-07-22 00:20:30:357 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-01 00:00:00', conid= 11962137, id=123, symbol=ABB, open=34.04, high=34.06, low=33.89, close=33.96, volume=8018, wap=33.9835, count=4774}
2021-07-22 00:20:30:357 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-15 00:00:00', conid= 11962137, id=111, symbol=ABB, open=34.78, high=34.92, low=34.73, close=34.82, volume=10000, wap=34.8055, count=5740}
2021-07-22 00:20:32:830 [pool-2-thread-1] DEBUG com.huanhe_tech.siever.Main - https://finance.yahoo.com/chart/ABB
2021-07-22 00:20:33:181 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 467881500, id=119, symbol=AGFY, open=12.88, high=14.46, low=12.88, close=13.74, volume=6520, wap=13.6395, count=1981}
2021-07-22 00:20:33:181 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-12 00:00:00', conid= 467881500, id=114, symbol=AGFY, open=13.85, high=16.86, low=13.76, close=15.02, volume=12076, wap=15.443, count=4143}
2021-07-22 00:20:33:181 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-30 00:00:00', conid= 467881500, id=107, symbol=AGFY, open=12.19, high=12.38, low=11.51, close=11.9, volume=1623, wap=11.882, count=721}
2021-07-22 00:20:33:181 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-07 00:00:00', conid= 467881500, id=90, symbol=AGFY, open=11.01, high=11.62, low=10.6, close=10.71, volume=2096, wap=10.9875, count=971}
2021-07-22 00:20:40:481 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 154991941, id=134, symbol=ASPN, open=31.91, high=32.21, low=30.435, close=30.91, volume=2649, wap=30.904085, count=1997}
2021-07-22 00:20:40:481 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-12 00:00:00', conid= 154991941, id=129, symbol=ASPN, open=35.24, high=37.2999, low=34.58, close=36.2, volume=2192, wap=36.245135, count=1373}
2021-07-22 00:20:40:481 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-28 00:00:00', conid= 154991941, id=120, symbol=ASPN, open=24.63, high=24.63, low=23.5135, close=23.8, volume=685, wap=23.88743, count=446}
2021-07-22 00:20:40:481 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-08 00:00:00', conid= 154991941, id=106, symbol=ASPN, open=22.95, high=24.93, low=22.57, close=22.69, volume=4383, wap=23.587615, count=2512}
2021-07-22 00:20:42:609 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 6607563, id=134, symbol=AZZ, open=50.53, high=51.66, low=50.46, close=51.15, volume=1325, wap=50.9635, count=930}
2021-07-22 00:20:42:609 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-12 00:00:00', conid= 6607563, id=129, symbol=AZZ, open=57.85, high=57.85, low=55.03, close=55.05, volume=1669, wap=55.922, count=1148}
2021-07-22 00:20:42:609 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-06 00:00:00', conid= 6607563, id=125, symbol=AZZ, open=51.58, high=51.58, low=50.37, close=51.16, volume=510, wap=51.072, count=439}
2021-07-22 00:20:42:609 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-25 00:00:00', conid= 6607563, id=119, symbol=AZZ, open=52.53, high=53.24, low=52.25, close=52.29, volume=608, wap=52.7385, count=456}
2021-07-22 00:20:43:052 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 372849723, id=134, symbol=BBIO, open=57.94, high=59.22, low=57.38, close=57.41, volume=4663, wap=58.028, count=3261}
2021-07-22 00:20:43:053 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-07 00:00:00', conid= 372849723, id=126, symbol=BBIO, open=64.19, high=65.33, low=63.49, close=64.11, volume=3645, wap=64.2405, count=2834}
2021-07-22 00:20:43:053 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-28 00:00:00', conid= 372849723, id=120, symbol=BBIO, open=60.0, high=60.46, low=57.35, close=59.39, volume=5199, wap=58.8045, count=3818}
2021-07-22 00:20:43:053 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-16 00:00:00', conid= 372849723, id=112, symbol=BBIO, open=61.92, high=64.61, low=61.88, close=63.18, volume=7055, wap=63.3145, count=3810}
2021-07-22 00:20:44:788 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-19 00:00:00', conid= 5049, id=134, symbol=BLK, open=857.64, high=863.59, low=839.69, close=845.16, volume=3511, wap=846.939, count=2603}
2021-07-22 00:20:44:789 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-07-12 00:00:00', conid= 5049, id=129, symbol=BLK, open=901.31, high=920.31, low=899.57, close=915.92, volume=2522, wap=915.4565, count=2046}
2021-07-22 00:20:44:789 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-18 00:00:00', conid= 5049, id=114, symbol=BLK, open=850.92, high=856.87, low=839.01, close=840.78, volume=4538, wap=846.4455, count=2563}
2021-07-22 00:20:44:789 [Thread-0] DEBUG com.huanhe_tech.siever.Main - HistDataBean{time='2021-06-07 00:00:00', conid= 5049, id=105, symbol=BLK, open=888.66, high=890.0, low=879.47, close=884.96, volume=985, wap=883.462, count=801}
2021-07-22 00:21:05:515 [pool-3-thread-1] DEBUG com.huanhe_tech.siever.Main - https://finance.yahoo.com/chart/AGFY
