2021-08-13 01:04:48:724 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 1715006, id=150, symbol=A, open=156.92, high=157.61, low=155.9, close=156.52, volume=8920, wap=156.62, count=6721}, HistDataBean{time='2021-07-19 00:00:00', conid= 1715006, id=134, symbol=A, open=147.88, high=147.97, low=146.95, close=147.58, volume=10138, wap=147.4735, count=7829}], [HistDataBean{time='2021-07-12 00:00:00', conid= 1715006, id=129, symbol=A, open=150.65, high=151.0, low=149.17, close=149.51, volume=7329, wap=149.7915, count=5453}, HistDataBean{time='2021-05-19 00:00:00', conid= 1715006, id=93, symbol=A, open=127.6, high=130.28, low=127.13, close=130.21, volume=6142, wap=129.0655, count=5263}]]
2021-08-13 01:04:49:624 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 251962528, id=151, symbol=AA, open=43.44, high=44.74, low=43.15, close=44.66, volume=63296, wap=44.042, count=26282}, HistDataBean{time='2021-07-19 00:00:00', conid= 251962528, id=134, symbol=AA, open=31.99, high=32.45, low=30.99, close=31.62, volume=98552, wap=31.672, count=51019}], [HistDataBean{time='2021-08-02 00:00:00', conid= 251962528, id=144, symbol=AA, open=40.22, high=41.65, low=39.38, close=39.4, volume=63776, wap=40.2825, count=27455}, HistDataBean{time='2021-07-08 00:00:00', conid= 251962528, id=127, symbol=AA, open=35.0, high=36.09, low=34.08, close=35.36, volume=44413, wap=35.17, count=21356}]]
2021-08-13 01:04:50:805 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-06 00:00:00', conid= 468799337, id=130, symbol=AAC U, open=9.91, high=10.01, low=9.91, close=9.99, volume=3065, wap=9.951, count=113}, HistDataBean{time='2021-07-30 00:00:00', conid= 468799337, id=125, symbol=AAC U, open=9.96, high=10.05, low=9.95, close=10.05, volume=250, wap=9.974, count=73}], [HistDataBean{time='2021-07-30 00:00:00', conid= 468799337, id=125, symbol=AAC U, open=9.96, high=10.05, low=9.95, close=10.05, volume=250, wap=9.974, count=73}, HistDataBean{time='2021-07-23 00:00:00', conid= 468799337, id=120, symbol=AAC U, open=10.01, high=10.02, low=10.01, close=10.02, volume=68, wap=10.011, count=24}]]
2021-08-13 01:04:56:080 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 139673266, id=151, symbol=AAL, open=20.63, high=21.49, low=20.48, close=21.23, volume=360410, wap=21.069, count=99493}, HistDataBean{time='2021-08-03 00:00:00', conid= 139673266, id=145, symbol=AAL, open=20.08, high=20.08, low=19.31, close=19.95, volume=333040, wap=19.6165, count=87004}], [HistDataBean{time='2021-07-27 00:00:00', conid= 139673266, id=140, symbol=AAL, open=21.97, high=22.16, low=21.11, close=21.46, volume=267202, wap=21.508, count=85809}, HistDataBean{time='2021-07-19 00:00:00', conid= 139673266, id=134, symbol=AAL, open=18.87, high=19.21, low=18.28, close=18.97, volume=550228, wap=18.802, count=167798}]]
2021-08-13 01:04:56:882 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 265585, id=151, symbol=AAME, open=4.43, high=4.52, low=4.03, close=4.07, volume=774, wap=4.17833, count=269}, HistDataBean{time='2021-08-10 00:00:00', conid= 265585, id=150, symbol=AAME, open=4.5, high=5.7, low=4.4, close=4.48, volume=10534, wap=5.1242, count=2904}], [HistDataBean{time='2021-07-27 00:00:00', conid= 265585, id=140, symbol=AAME, open=3.88, high=4.1, low=3.7501, close=4.08, volume=375, wap=3.95603, count=139}, HistDataBean{time='2021-07-15 00:00:00', conid= 265585, id=132, symbol=AAME, open=4.35, high=5.18, low=4.3301, close=4.66, volume=7534, wap=4.81598, count=2020}]]
2021-08-13 01:04:58:162 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 455975127, id=151, symbol=AAN, open=27.86, high=28.71, low=27.79, close=28.67, volume=1426, wap=28.389, count=993}, HistDataBean{time='2021-08-10 00:00:00', conid= 455975127, id=150, symbol=AAN, open=26.88, high=28.1, low=26.84, close=27.86, volume=1389, wap=27.753, count=990}], [HistDataBean{time='2021-07-27 00:00:00', conid= 455975127, id=140, symbol=AAN, open=30.6, high=30.75, low=28.33, close=30.13, volume=4971, wap=29.821, count=3088}, HistDataBean{time='2021-07-23 00:00:00', conid= 455975127, id=138, symbol=AAN, open=27.86, high=28.0, low=26.7, close=27.29, volume=2636, wap=27.1145, count=1810}]]
2021-08-13 01:04:58:738 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-06 00:00:00', conid= 135423662, id=148, symbol=AAOI, open=7.28, high=7.28, low=6.85, close=7.15, volume=13948, wap=7.0235, count=6455}, HistDataBean{time='2021-08-02 00:00:00', conid= 135423662, id=144, symbol=AAOI, open=7.77, high=7.92, low=7.62, close=7.64, volume=3492, wap=7.734, count=2041}], [HistDataBean{time='2021-07-27 00:00:00', conid= 135423662, id=140, symbol=AAOI, open=7.36, high=7.46, low=7.11, close=7.21, volume=3765, wap=7.2035, count=2358}, HistDataBean{time='2021-07-21 00:00:00', conid= 135423662, id=136, symbol=AAOI, open=7.44, high=7.81, low=7.44, close=7.71, volume=2672, wap=7.6965, count=1218}]]
2021-08-13 01:04:59:324 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 265595, id=150, symbol=AAON, open=68.87, high=70.58, low=68.34, close=70.15, volume=971, wap=70.0795, count=718}, HistDataBean{time='2021-07-27 00:00:00', conid= 265595, id=140, symbol=AAON, open=59.69, high=60.66, low=59.22, close=59.87, volume=1557, wap=60.0905, count=517}], [HistDataBean{time='2021-07-20 00:00:00', conid= 265595, id=135, symbol=AAON, open=60.94, high=62.85, low=60.81, close=61.42, volume=608, wap=61.972, count=485}, HistDataBean{time='2021-07-06 00:00:00', conid= 265595, id=125, symbol=AAON, open=63.01, high=63.63, low=61.33, close=62.45, volume=828, wap=62.0215, count=705}]]
2021-08-13 01:04:59:954 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 4027, id=151, symbol=AAP, open=209.21, high=211.98, low=208.37, close=211.21, volume=2540, wap=211.177, count=1939}, HistDataBean{time='2021-08-09 00:00:00', conid= 4027, id=149, symbol=AAP, open=205.08, high=205.65, low=204.19, close=204.52, volume=3267, wap=204.8765, count=2694}], [HistDataBean{time='2021-08-03 00:00:00', conid= 4027, id=145, symbol=AAP, open=213.1, high=217.66, low=211.81, close=215.4, volume=2449, wap=215.6395, count=1982}, HistDataBean{time='2021-07-19 00:00:00', conid= 4027, id=134, symbol=AAP, open=203.05, high=206.38, low=202.64, close=205.67, volume=3325, wap=204.9315, count=2697}]]
2021-08-13 01:05:00:523 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 265598, id=150, symbol=AAPL, open=146.46, high=147.71, low=145.3, close=145.6, volume=461313, wap=146.185, count=215472}, HistDataBean{time='2021-08-03 00:00:00', conid= 265598, id=145, symbol=AAPL, open=145.82, high=148.05, low=145.18, close=147.36, volume=508162, wap=146.706, count=226252}], [HistDataBean{time='2021-07-28 00:00:00', conid= 265598, id=141, symbol=AAPL, open=144.84, high=146.97, low=142.54, close=144.98, volume=872039, wap=144.889, count=369003}, HistDataBean{time='2021-07-26 00:00:00', conid= 265598, id=139, symbol=AAPL, open=148.27, high=149.83, low=147.7, close=148.99, volume=512001, wap=149.234, count=217659}]]
2021-08-13 01:05:02:311 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 82819360, id=151, symbol=AAT, open=37.79, high=38.21, low=37.6, close=38.15, volume=1195, wap=37.9455, count=806}, HistDataBean{time='2021-08-03 00:00:00', conid= 82819360, id=145, symbol=AAT, open=37.04, high=37.04, low=36.16, close=36.92, volume=1829, wap=36.709, count=1448}], [HistDataBean{time='2021-07-30 00:00:00', conid= 82819360, id=143, symbol=AAT, open=37.39, high=38.15, low=36.9, close=36.93, volume=1467, wap=37.3, count=1111}, HistDataBean{time='2021-07-19 00:00:00', conid= 82819360, id=134, symbol=AAT, open=36.24, high=36.65, low=34.78, close=34.99, volume=2567, wap=35.2245, count=1953}]]
