#BOF|2021.04.10|08:15:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|-0.5213|0.5813|9500000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|-0.1900|0.2500|>10000000|
AAA|USD|AAF FIRST PRIORITY CLO BOND|444250694|XXXXXXXF6566|-1.0691|1.1291|100|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.5497|1.6097|350000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-15.2564|15.3164|>10000000|
AAC|USD|ARES ACQUISITION CORP-A|477011235|KYG330321061|-1.3603|1.4203|80000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|-0.7000|0.7600|550000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-14.5701|14.6301|5000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-46.6520|46.7120|95000|
AACQ|USD|ARTIUS ACQUISITION INC-CL A|443757877|KY04316G1057|-0.8433|0.9033|1600000|
AACQU|USD|ARTIUS ACQUISITION INC|434092878|KY04316G2048|-1.1925|1.2525|20000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-9.1345|9.1945|250000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-8.9939|9.0539|15000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|-1.2310|1.2910|>10000000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-23.1032|23.1632|200000|
AAGH|USD|AMERICA GREAT HEALTH|280898497|XXXXXXXT1016|-1.4938|1.5538|30000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-0.7938|0.8538|200000|
